kubectl get configmap --all-namespaces
NAMESPACE     NAME                                 DATA   AGE
default       binder-config                        2      174m
default       hub-config                           2      174m
default       user-scheduler                       2      174m
kube-system   aws-auth                             2      179m
kube-system   coredns                              1      3h5m
kube-system   cp-vpc-resource-controller           0      3h4m
kube-system   eks-certificates-controller          0      3h5m
kube-system   extension-apiserver-authentication   6      3h5m
kube-system   kube-proxy                           1      3h5m
kube-system   kube-proxy-config                    1      3h5m
